id,phrase,feature_1,feature_2,feature_3,sentiment
1378,"Katz 's documentary does n't have much panache , but with material this rich it does n't need it .",20.0,1.0,5.0,2
1379,"We never feel anything for these characters , and as a result the film is basically just a curiosity .",20.0,1.0,2.0,0
1380,... too contrived to be as naturally charming as it needs to be .,14.0,0.0,,0
1381,"This is a picture that Maik , the firebrand turned savvy ad man , would be envious of : it hijacks the heat of revolution and turns it into a sales tool .",,2.0,4.0,1
1382,"A lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers .",24.0,1.0,,2
1383,"Driven by a fantastic dual performance from Ian Holm ... the film is funny , insightfully human and a delightful lark for history buffs .",25.0,3.0,5.0,2
1384,"every once in a while , a movie will come along that turns me into that annoying specimen of humanity that I usually dread encountering the most - The Fanboy",30.0,3.0,2.0,2
1385,Sex With Strangers will shock many with its unblinking frankness .,11.0,3.0,,1
1386,"-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year .",,8.0,19.0,2
1387,Paul Cox needed to show it .,7.0,2.0,1.0,0
1388,"By the standards of knucklehead swill , The Hot Chick is pretty damned funny .",15.0,4.0,,2
1389,Looks and feels like a low-budget hybrid of Scarface or Carlito 's Way .,,4.0,,0
1390,A waste of fearless purity in the acting craft .,10.0,1.0,1.0,0
1391,"Efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .",21.0,1.0,7.0,2
1392,... the plot weaves us into a complex web .,10.0,,,2
1393,Kudos to the most enchanting film of the year .,10.0,1.0,1.0,2
1394,This 10th film in the series looks and feels tired .,,1.0,1.0,0
1395,"I had more fun with Ben Stiller 's Zoolander , which I thought was rather clever .",17.0,,3.0,1
1396,Top-notch action powers this romantic drama .,7.0,1.0,2.0,2
1397,A film that loses sight of its own story .,10.0,1.0,1.0,0
1398,It 's quite diverting nonsense .,6.0,1.0,2.0,0
1399,"In both the writing and cutting , it does not achieve the kind of dramatic unity that transports you .",20.0,1.0,2.0,1
1400,What ` Blade Runner ' would 've looked like as a low-budget series on a UHF channel .,18.0,,5.0,0
1401,-LRB- A -RRB- strong piece of work .,8.0,1.0,5.0,2
1402,A low-rent retread of the Alien pictures .,8.0,2.0,,0
1403,"McKay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service .",37.0,1.0,2.0,0
1404,"fast , frantic and fun , but also soon forgotten",10.0,0.0,2.0,1
1405,Strange occurrences build in the mind of the viewer and take on extreme urgency .,15.0,1.0,1.0,2
1406,"On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .",28.0,3.0,5.0,2
1407,Barry Sonnenfeld owes Frank the Pug big time,,4.0,0.0,1
1408,The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,20.0,,2.0,1
1409,a wonderfully warm human drama that remains vividly in memory long after viewing,13.0,,0.0,2
1410,Familiar but utterly delightful .,5.0,1.0,1.0,2
1411,"Invigorating , surreal , and resonant with a rainbow of emotion .",12.0,1.0,3.0,2
1412,"It 's full of cheesy dialogue , but great trashy fun that finally returns De Palma to his pulpy thrillers of the early '80s .",25.0,3.0,,2
1413,"Watching this film , one is left with the inescapable conclusion that Hitchens ' obsession with Kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power .",41.0,3.0,6.0,2
1414,"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",20.0,4.0,3.0,1
1415,"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness .",30.0,3.0,,0
1416,The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .,32.0,1.0,1.0,0
1417,It 's been 20 years since 48 Hrs .,9.0,2.0,2.0,1
1418,"Whereas Oliver Stone 's conspiracy thriller JFK was long , intricate , star-studded and visually flashy , Interview with the Assassin draws its considerable power from simplicity .",28.0,6.0,6.0,2
1419,"A fine effort , an interesting topic , some intriguing characters and a sad ending .",16.0,,3.0,2
1420,MIB II is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything .,41.0,2.0,3.0,0
1421,A very good film sits in the place where a masterpiece should be .,14.0,1.0,1.0,2
1422,"Wow , so who knew Charles Dickens could be so light-hearted ?",12.0,,3.0,2
1423,"The script 's judgment and sense of weight is way , way off .",14.0,1.0,3.0,0
1424,Abderrahmane Sissako 's Heremakono -LRB- Waiting for Happiness -RRB- is an elegiac portrait of a transit city on the West African coast struggling against foreign influences .,27.0,7.0,6.0,1
1425,"Like the world of his film , Hartley created a monster but did n't know how to handle it .",20.0,2.0,3.0,0
1426,A period story about a Catholic boy who tries to help a Jewish friend get into heaven by sending the audience straight to hell .,25.0,3.0,1.0,0
1427,"The action is reasonably well-done ... yet story , character and comedy bits are too ragged to ever fit smoothly together .",22.0,1.0,6.0,1
1428,The umpteenth summer skinny dip in Jerry Bruckheimer 's putrid pond of retread action twaddle .,16.0,3.0,2.0,1
1429,... silly humbuggery ...,4.0,0.0,6.0,0
1430,Watching a Brian DePalma movie is like watching an Alfred Hitchcock movie after drinking twelve beers .,17.0,5.0,1.0,0
1431,"But the talented cast alone will keep you watching , as will the fight scenes .",16.0,1.0,2.0,2
1432,A great cast and a wonderful but sometimes confusing flashback movie about growing up in a dysfunctional family .,,1.0,1.0,2
1433,A word of advice to the makers of The Singles Ward : Celebrity cameos do not automatically equal laughs .,20.0,5.0,2.0,0
1434,The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,,2.0,1.0,0
1435,"Intelligent , caustic take on a great writer and dubious human being .",13.0,1.0,2.0,2
1436,The kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .,21.0,1.0,1.0,0
1437,Raimi and his team could n't have done any better in bringing the story of Spider-Man to the big screen .,21.0,2.0,3.0,2
1438,"If you enjoy being rewarded by a script that assumes you are n't very bright , then Blood Work is for you .",23.0,3.0,,0
1439,The Master of Disguise is awful .,7.0,3.0,1.0,0
1440,"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .",19.0,,4.0,1
1441,"Call this The Full Monty on ice , the underdog sports team formula redux .",15.0,4.0,,1
1442,"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .",23.0,2.0,4.0,2
1443,Over and over again .,5.0,1.0,1.0,0
1444,"Yet another genre exercise , Gangster No. 1 is as generic as its title .",15.0,3.0,3.0,0
1445,"Often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself .",,1.0,2.0,1
1446,"It would be churlish to begrudge anyone for receiving whatever consolation that can be found in Dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction .",41.0,2.0,4.0,0
1447,-LRB- A -RRB- stale retread of the '53 original .,,1.0,6.0,0
1448,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",35.0,3.0,3.0,2
1449,"Medem may have disrobed most of the cast , leaving their bodies exposed , but the plot remains as guarded as a virgin with a chastity belt .",,1.0,3.0,0
1450,He allows his cast members to make creative contributions to the story and dialogue .,15.0,1.0,1.0,2
1451,"Passionate , irrational , long-suffering but cruel as a tarantula , Helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats .",31.0,2.0,7.0,2
1452,"` You 'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied .",20.0,1.0,4.0,1
1453,The most offensive thing about the movie is that Hollywood expects people to pay to see it .,18.0,2.0,,0
1454,"Lucky Break is perfectly inoffensive and harmless , but it 's also drab and inert .",16.0,2.0,3.0,1
1455,"Throwing in everything except someone pulling the pin from a grenade with his teeth , Windtalkers seems to have ransacked every old World War II movie for overly familiar material .",31.0,,2.0,0
1456,"It 's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death",26.0,1.0,2.0,1
1457,"` Possession , ' based on the book by A.S. Byatt , demands that LaBute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit",33.0,4.0,,2
1458,Is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ?,22.0,1.0,1.0,0
1459,"Touches smartly and wistfully on a number of themes , not least the notion that the marginal members of society ... might benefit from a helping hand and a friendly kick in the pants .",35.0,,5.0,2
1460,"... unlikable , uninteresting , unfunny , and completely , utterly inept .",13.0,0.0,,0
1461,"A slam-bang extravaganza that is all about a wild-and-woolly , wall-to-wall good time .",14.0,1.0,7.0,2
1462,There 's no denying that Burns is a filmmaker with a bright future ahead of him .,17.0,2.0,2.0,2
1463,"A distinguished and thoughtful film , marked by acute writing and a host of splendid performances .",17.0,,2.0,2
1464,"The asylum material is gripping , as are the scenes of Jia with his family .",16.0,,2.0,2
1465,"It cooks Conduct in a low , smoky and inviting sizzle .",,2.0,2.0,2
1466,The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,,3.0,1.0,2
1467,"The film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves Blue Crush waterlogged .",34.0,3.0,6.0,0
1468,What 's left is a rich stew of longing .,10.0,1.0,,1
1469,Disgusting .,2.0,1.0,1.0,0
1470,A sharp satire of desperation and cinematic deception .,9.0,1.0,1.0,2
1471,"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie .",23.0,2.0,4.0,0
1472,"The cast ... keeps this pretty watchable , and casting Mick Jagger as director of the escort service was inspired .",21.0,3.0,5.0,2
1473,"Holm does his sly , intricate magic , and Iben Hjelje is entirely appealing as Pumpkin .",17.0,4.0,3.0,2
1474,What makes this film special is Serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context .,28.0,2.0,2.0,2
1475,"After all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long .",27.0,,4.0,0
1476,"Whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .",31.0,1.0,2.0,2
1477,An engrossing and infectiously enthusiastic documentary .,7.0,1.0,1.0,2
1478,"A passable romantic comedy , in need of another couple of passes through the word processor .",,1.0,2.0,1
